2014/9/9,431
2014/10/14,383
2014/9/30,365
2014/10/24,321
2014/10/10,319
2014/10/17,297
2014/10/22,282
2014/9/5,281
2014/10/13,241
2014/8/19,232
2014/9/7,224
2014/10/15,223
2014/9/6,216
2014/9/10,210
2014/9/19,210
2014/9/11,208
2014/8/27,199
2014/9/8,194
2014/10/29,189
2014/5/26,188
2014/10/16,187
2014/10/28,184
2014/8/13,181
2014/6/18,177
2014/10/9,177
2014/9/23,174
2014/9/12,174
2014/10/11,173
2014/7/14,171
2014/10/20,169
2014/8/22,169
2014/7/7,164
2014/7/30,163
2014/9/26,159
2014/9/16,158
2014/6/14,158
2014/8/25,158
2014/6/13,157
2014/6/9,157
2014/10/27,157
2014/6/11,153
2014/7/26,153
2014/10/21,151
2014/7/27,150
2014/7/31,149
2014/6/23,149
2014/9/3,147
2014/4/30,146
2014/9/15,145
2014/4/22,145
2014/7/8,144
2014/10/8,144
2014/6/24,144
2014/7/21,142
2014/7/18,142
2014/6/4,141
2014/9/29,141
2014/6/25,139
2014/6/17,139
2014/7/28,139
2014/7/1,138
2014/7/23,138
2014/4/24,137
2014/9/2,136
2014/10/23,135
2014/4/25,132
2014/8/5,132
2014/7/25,132
2014/3/31,132
2014/8/8,132
2014/8/1,131
2014/10/12,131
2014/5/28,130
2014/10/7,129
2014/8/29,129
2014/6/26,128
2014/7/3,128
2014/4/23,126
2014/6/20,126
2014/6/19,126
2014/7/4,125
2014/8/15,124
2014/8/6,123
2014/5/23,123
2014/7/2,123
2014/8/26,121
2014/10/31,120
2014/6/21,120
2014/5/27,119
2014/5/22,119
2014/10/5,119
2014/5/21,118
2014/6/12,118
2014/7/15,118
2014/7/29,117
2014/4/29,117
2014/6/5,115
2014/7/22,115
2014/4/18,113
2014/4/21,113
2014/4/17,113
2014/6/30,112
2014/8/20,112
2014/8/2,112
2014/5/15,112
2014/10/30,111
2014/5/30,111
2014/5/29,111
2014/7/24,110
2014/7/16,109
2014/9/25,109
2014/4/28,108
2014/6/6,108
2014/6/10,106
2014/8/4,105
2014/4/11,105
2014/8/21,104
2014/4/10,104
2014/5/19,104
2014/7/10,104
2014/9/28,103
2014/5/9,103
2014/6/27,102
2014/7/11,101
2014/10/3,101
2014/9/18,101
2014/3/25,99
2014/5/7,99
2014/9/17,98
2014/4/15,98
2014/8/24,98
2014/9/22,97
2014/9/24,95
2014/4/16,95
2014/3/10,95
2014/5/8,95
2014/5/16,95
2014/4/14,92
2014/8/9,92
2014/10/26,92
2014/8/7,91
2014/8/11,91
2014/3/12,90
2014/8/23,90
2014/10/4,90
2014/3/28,90
2014/8/28,88
2014/6/28,88
2014/3/19,87
2014/7/12,86
2014/4/20,85
2014/9/4,84
2014/6/3,84
2014/5/13,84
2014/8/14,84
2014/10/2,84
2014/3/14,84
2014/3/11,83
2014/7/13,83
2014/5/12,83
2014/8/30,83
2014/10/25,82
2014/8/10,82
2014/8/18,82
2014/10/6,82
2014/9/27,82
2014/9/20,82
2014/5/20,81
2014/2/28,80
2014/3/26,80
2014/1/15,80
2014/7/9,80
2014/8/3,78
2014/3/7,78
2014/3/20,78
2014/5/14,78
2014/7/20,78
2014/4/9,77
2014/7/17,77
2014/5/5,76
2014/10/1,75
2014/8/31,75
2014/3/6,74
2014/3/13,74
2014/10/18,73
2014/3/27,73
2014/3/17,72
2014/1/22,72
2014/11/1,71
2014/3/18,71
