Idx,WeblogInfo_1,WeblogInfo_3,WeblogInfo_10,UserInfo_13,WeblogInfo_32,WeblogInfo_35,WeblogInfo_41,WeblogInfo_44,WeblogInfo_47,WeblogInfo_49,WeblogInfo_55,ThirdParty_Info_Period7_1,ThirdParty_Info_Period7_2,ThirdParty_Info_Period7_3,ThirdParty_Info_Period7_4,ThirdParty_Info_Period7_5,ThirdParty_Info_Period7_6,ThirdParty_Info_Period7_7,ThirdParty_Info_Period7_8,ThirdParty_Info_Period7_9,ThirdParty_Info_Period7_10,ThirdParty_Info_Period7_11,ThirdParty_Info_Period7_12,ThirdParty_Info_Period7_13,ThirdParty_Info_Period7_14,ThirdParty_Info_Period7_15,ThirdParty_Info_Period7_16,ThirdParty_Info_Period7_17,SocialNetwork_1,SocialNetwork_2,SocialNetwork_3,SocialNetwork_4,SocialNetwork_5,SocialNetwork_6,SocialNetwork_7,SocialNetwork_11,SocialNetwork_15,SocialNetwork_16
10001,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0
10002,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0
10003,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0
10006,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0
10007,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0
10008,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0
10011,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0
10015,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0
10019,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,0.0,1.0
10021,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0
10022,,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0
10024,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0
10026,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0
10027,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0
10031,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0
10032,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0
10036,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0
10039,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0
10040,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0
10044,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0
10050,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0
10054,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0
10059,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0
1006,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0
10063,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0
10067,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0
10068,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0
10069,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0
