Idx,score
10005,0.054843
10013,0.100528
10020,0.213341
10033,0.192818
10035,0.234526
10038,0.055850
1004,0.308315
10042,0.071165
10043,0.132971
10046,0.106206
1005,0.031958
10051,0.059174
10053,0.050891
10056,0.077613
10058,0.089874
10060,0.288459
10066,0.072336
10071,0.097634
10076,0.422215
1008,0.210847
10083,0.068355
10092,0.120285
10093,0.025703
10094,0.003390
10098,0.116942
10099,0.012580
10103,0.017792
1011,0.242394
10121,0.193342
10126,0.229599
10127,0.049131
10131,0.056055
10136,0.017182
10142,0.107175
10143,0.279719
10144,0.173385
10150,0.068806
10154,0.060370
1016,0.025811
10161,0.042243
10162,0.021235
10168,0.077277
10170,0.040587
10177,0.020352
10179,0.030866
1018,0.334783
10180,0.062825
10184,0.015866
10186,0.185777
1019,0.081553
10191,0.082673
10194,0.064224
10197,0.122724
10199,0.029770
10200,0.020996
10207,0.206168
10219,0.071691
10222,0.033476
10224,0.088978
10231,0.173558
10237,0.031279
10239,0.040542
10242,0.046657
10245,0.014516
1025,0.072728
10250,0.041002
10260,0.017842
10262,0.116207
10265,0.049060
10267,0.227085
10281,0.050809
10282,0.055814
10285,0.041637
10286,0.069060
10289,0.064468
10298,0.199013
10301,0.108918
10309,0.146630
1031,0.037773
10317,0.075021
10322,0.030058
10326,0.059120
10333,0.179406
10337,0.167391
10339,0.152325
1034,0.219860
10343,0.055745
10345,0.033775
1035,0.113935
10351,0.084556
10355,0.050669
10357,0.042764
1036,0.134613
10364,0.116237
10367,0.316824
10381,0.062008
10383,0.017865
10385,0.071994
10387,0.018153
10396,0.023657
10398,0.042360
104,0.092849
10404,0.166438
10408,0.115336
10420,0.043234
1045,0.027012
10451,0.055652
10454,0.034890
10460,0.050820
10467,0.137875
10469,0.067912
10470,0.167424
10475,0.081474
10485,0.135790
10487,0.267188
1049,0.058203
10495,0.022735
10496,0.050819
10500,0.035976
10503,0.054933
10505,0.041057
10507,0.164219
10512,0.017559
10517,0.036976
10522,0.056208
10524,0.080397
10528,0.174602
10529,0.352953
10531,0.083038
10540,0.025795
10541,0.060828
10545,0.090287
10548,0.087905
1055,0.124901
10556,0.089372
10567,0.016584
10580,0.158173
10590,0.044416
10592,0.190866
10597,0.378046
1060,0.114811
10600,0.042374
10613,0.160112
10622,0.064183
10624,0.288361
10638,0.106951
10642,0.079654
10644,0.032759
10656,0.028486
1066,0.068205
10671,0.122342
10672,0.067834
10673,0.054976
10677,0.066356
10679,0.003822
1068,0.102743
10680,0.184374
10686,0.035527
10695,0.033758
1070,0.096943
10701,0.014688
10704,0.044011
10705,0.142661
1072,0.013685
10720,0.012839
10722,0.162851
10725,0.018223
10728,0.219950
10735,0.211884
10738,0.343538
1074,0.040887
10740,0.029910
10742,0.036829
10746,0.128746
10754,0.023820
10756,0.161441
10766,0.239315
10767,0.020784
10769,0.040996
10770,0.231902
10777,0.107428
10779,0.029885
10786,0.059767
10788,0.050195
10790,0.028531
10797,0.055893
10801,0.074498
10804,0.004245
10805,0.008070
10807,0.034390
10810,0.033480
10826,0.163028
10833,0.227240
10840,0.308594
1086,0.246346
10860,0.323718
10862,0.089132
10863,0.047456
10880,0.104501
10881,0.076711
10883,0.018507
10888,0.345690
10890,0.067394
10894,0.019995
10898,0.051567
10905,0.093760
10911,0.056761
10914,0.081725
10915,0.015487
10940,0.137272
10944,0.037866
10949,0.220222
10952,0.038838
10954,0.335807
10959,0.048302
10966,0.155001
10968,0.038857
10983,0.203042
10987,0.007575
10989,0.005456
10990,0.049936
10993,0.300193
10996,0.037211
11,0.169893
110,0.080865
11010,0.005164
11015,0.033552
11018,0.070303
1102,0.118538
11021,0.033891
11023,0.009692
11034,0.086394
11039,0.032590
11047,0.058477
11050,0.233255
11055,0.058292
11059,0.074398
11065,0.047535
11069,0.033501
11075,0.185402
11076,0.028405
11077,0.063769
11088,0.009980
11092,0.045806
11094,0.116467
11096,0.088577
11098,0.082721
11101,0.016914
11109,0.106363
11111,0.043292
11114,0.122142
11115,0.161587
11119,0.079750
11127,0.449918
1113,0.174443
11133,0.063724
11140,0.063508
11141,0.057542
11143,0.088336
11148,0.136261
11152,0.004515
11156,0.076265
11157,0.110925
11163,0.138817
11165,0.043640
11167,0.321614
11177,0.024164
1118,0.198734
11180,0.045652
11188,0.051683
11199,0.059205
112,0.154332
11201,0.093460
11203,0.025644
11205,0.067199
11206,0.050653
11210,0.006593
11218,0.155981
11225,0.046600
11227,0.165744
1124,0.026412
11248,0.053900
11249,0.010526
1125,0.042082
11251,0.095369
11253,0.091907
11259,0.071731
11261,0.082943
11264,0.032565
11266,0.088022
11270,0.041422
11275,0.152874
11276,0.246577
11278,0.030378
11282,0.116259
11283,0.047058
11288,0.278715
11297,0.060291
11298,0.412029
11310,0.022300
11311,0.113240
11313,0.041832
11316,0.029020
11318,0.039145
11320,0.024328
